DATE,AWAY,HOME
1/8/2025,FLA,UTH
1/8/2025,CGY,LAK
1/9/2025,BUF,OTT
1/9/2025,BOS,TBL
1/9/2025,NJD,NYR
1/9/2025,DAL,PHI
1/9/2025,EDM,PIT
1/9/2025,TOR,CAR
1/9/2025,SEA,CBJ
1/9/2025,ANA,STL
1/9/2025,COL,MIN
1/9/2025,NYI,VGK
1/10/2025,CHI,DET
1/10/2025,MTL,WSH
1/10/2025,VAN,CAR
1/10/2025,LAK,WPG
1/10/2025,SJS,UTH
1/11/2025,BOS,FLA
1/11/2025,SEA,BUF
1/11/2025,OTT,PIT
1/11/2025,VAN,TOR
1/11/2025,DAL,MTL
1/11/2025,TBL,NJD
1/11/2025,ANA,PHI
1/11/2025,EDM,CHI
1/11/2025,CBJ,STL
1/11/2025,COL,WPG
1/11/2025,WSH,NSH
1/11/2025,NYI,UTH
1/11/2025,LAK,CGY
1/11/2025,NYR,VGK
1/11/2025,MIN,SJS
1/12/2025,SEA,DET
1/12/2025,DAL,OTT
1/12/2025,TBL,PIT
1/12/2025,ANA,CAR
1/12/2025,MIN,VGK
1/13/2025,FLA,PHI
1/13/2025,CGY,CHI
1/13/2025,LAK,EDM
1/14/2025,TBL,BOS
1/14/2025,DAL,TOR
1/14/2025,SJS,DET
1/14/2025,FLA,NJD
1/14/2025,SEA,PIT
1/14/2025,ANA,WSH
1/14/2025,PHI,CBJ
1/14/2025,OTT,NYI
1/14/2025,CGY,STL
1/14/2025,VGK,NSH
1/14/2025,VAN,WPG
1/14/2025,NYR,COL
1/14/2025,MTL,UTH
1/15/2025,CAR,BUF
1/15/2025,EDM,MIN
1/16/2025,NJD,TOR
1/16/2025,WSH,OTT
1/16/2025,ANA,TBL
1/16/2025,DET,FLA
1/16/2025,SJS,CBJ
1/16/2025,PHI,NYI
1/16/2025,CGY,STL
1/16/2025,CHI,NSH
1/16/2025,MTL,DAL
1/16/2025,SEA,WPG
1/16/2025,NYR,UTH
1/16/2025,EDM,COL
1/16/2025,LAK,VAN
1/17/2025,PIT,BUF
1/17/2025,VGK,CAR
1/18/2025,PHI,NJD
1/18/2025,BOS,OTT
1/18/2025,DAL,COL
1/18/2025,ANA,FLA
1/18/2025,TOR,MTL
1/18/2025,DET,TBL
1/18/2025,CBJ,NYR
1/18/2025,PIT,WSH
1/18/2025,CGY,WPG
1/18/2025,SJS,NYI
1/18/2025,VGK,CHI
1/18/2025,MIN,NSH
1/18/2025,STL,UTH
1/18/2025,EDM,VAN
1/18/2025,LAK,SEA
1/19/2025,OTT,NJD
1/19/2025,NYR,MTL
1/19/2025,DET,DAL
1/20/2025,SJS,BOS
1/20/2025,MIN,COL
1/20/2025,BUF,SEA
1/20/2025,STL,VGK
1/20/2025,TBL,TOR
1/20/2025,CBJ,NYI
1/20/2025,CAR,CHI
1/20/2025,WPG,UTH
1/20/2025,PIT,LAK
1/21/2025,TBL,MTL
1/21/2025,OTT,NYR
1/21/2025,DET,PHI
1/21/2025,SJS,NSH
1/21/2025,CAR,DAL
1/21/2025,WSH,EDM
1/21/2025,BUF,VAN
1/21/2025,FLA,ANA
1/22/2025,CBJ,TOR
1/22/2025,BOS,NJD
